v4_0,financial-and-calendar-years,Time,uk-only,Geography,quintile,Quintile,averages-and-percentiles,AveragesAndPercentiles,income-type,Income,value-deflation,Deflation
6469,2017-18,2017-18,K02000001,United Kingdom,1st,1st,median,Median,original,Original,deflated-value,Deflated value
19784,2017-18,2017-18,K02000001,United Kingdom,1st,1st,median,Median,final,Final,deflated-value,Deflated value
39162,2017-18,2017-18,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,deflated-value,Deflated value
31897,2017-18,2017-18,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
28072,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
31920,2017-18,2017-18,K02000001,United Kingdom,all,All,median,Median,final,Final,undeflated-value,Undeflated value
16736,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
23260,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
73670,2017-18,2017-18,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,deflated-value,Deflated value
49900,2017-18,2017-18,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
47637,2017-18,2017-18,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,deflated-value,Deflated value
16286,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,deflated-value,Deflated value
17083,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
21580,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,deflated-value,Deflated value
17705,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,undeflated-value,Undeflated value
23844,2017-18,2017-18,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,deflated-value,Deflated value
48493,2017-18,2017-18,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,deflated-value,Deflated value
40392,2017-18,2017-18,K02000001,United Kingdom,all,All,mean,Mean,original,Original,undeflated-value,Undeflated value
12428,2017-18,2017-18,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,deflated-value,Deflated value
21550,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
24621,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,deflated-value,Deflated value
21142,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
26221,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,undeflated-value,Undeflated value
58573,2017-18,2017-18,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
66113,2017-18,2017-18,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
8914,2017-18,2017-18,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
15759,2017-18,2017-18,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,deflated-value,Deflated value
10787,2017-18,2017-18,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,deflated-value,Deflated value
18072,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,deflated-value,Deflated value
36123,2017-18,2017-18,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,deflated-value,Deflated value
37951,2017-18,2017-18,K02000001,United Kingdom,all,All,mean,Mean,final,Final,deflated-value,Deflated value
108475,2017-18,2017-18,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
34726,2017-18,2017-18,K02000001,United Kingdom,all,All,median,Median,gross,Gross,undeflated-value,Undeflated value
23360,2017-18,2017-18,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
26765,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,deflated-value,Deflated value
29161,2017-18,2017-18,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,deflated-value,Deflated value
32581,2017-18,2017-18,K02000001,United Kingdom,all,All,median,Median,final,Final,deflated-value,Deflated value
14164,2017-18,2017-18,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,undeflated-value,Undeflated value
15439,2017-18,2017-18,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,undeflated-value,Undeflated value
43702,2017-18,2017-18,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,undeflated-value,Undeflated value
110723,2017-18,2017-18,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,deflated-value,Deflated value
34813,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,deflated-value,Deflated value
29836,2017-18,2017-18,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
31465,2017-18,2017-18,K02000001,United Kingdom,all,All,median,Median,original,Original,deflated-value,Deflated value
46776,2017-18,2017-18,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,deflated-value,Deflated value
55737,2017-18,2017-18,K02000001,United Kingdom,5th,5th,median,Median,final,Final,undeflated-value,Undeflated value
44902,2017-18,2017-18,K02000001,United Kingdom,4th,4th,median,Median,original,Original,undeflated-value,Undeflated value
31250,2017-18,2017-18,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
76570,2017-18,2017-18,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,undeflated-value,Undeflated value
76730,2017-18,2017-18,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
23781,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
29723,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,deflated-value,Deflated value
41229,2017-18,2017-18,K02000001,United Kingdom,all,All,mean,Mean,original,Original,deflated-value,Deflated value
72174,2017-18,2017-18,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,undeflated-value,Undeflated value
56892,2017-18,2017-18,K02000001,United Kingdom,5th,5th,median,Median,final,Final,deflated-value,Deflated value
31916,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,deflated-value,Deflated value
108084,2017-18,2017-18,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,deflated-value,Deflated value
76602,2017-18,2017-18,K02000001,United Kingdom,5th,5th,median,Median,original,Original,deflated-value,Deflated value
44608,2017-18,2017-18,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,deflated-value,Deflated value
50934,2017-18,2017-18,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
38413,2017-18,2017-18,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,deflated-value,Deflated value
75046,2017-18,2017-18,K02000001,United Kingdom,5th,5th,median,Median,original,Original,undeflated-value,Undeflated value
47508,2017-18,2017-18,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
38367,2017-18,2017-18,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,undeflated-value,Undeflated value
30826,2017-18,2017-18,K02000001,United Kingdom,all,All,median,Median,original,Original,undeflated-value,Undeflated value
29230,2017-18,2017-18,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
28654,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,deflated-value,Deflated value
45833,2017-18,2017-18,K02000001,United Kingdom,4th,4th,median,Median,original,Original,deflated-value,Deflated value
78157,2017-18,2017-18,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,deflated-value,Deflated value
24374,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
38144,2017-18,2017-18,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
14318,2017-18,2017-18,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,deflated-value,Deflated value
14458,2017-18,2017-18,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,deflated-value,Deflated value
31960,2017-18,2017-18,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
39104,2017-18,2017-18,K02000001,United Kingdom,4th,4th,median,Median,final,Final,deflated-value,Deflated value
34107,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,undeflated-value,Undeflated value
32223,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,deflated-value,Deflated value
17504,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
78320,2017-18,2017-18,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
29384,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
12176,2017-18,2017-18,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
29120,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,undeflated-value,Undeflated value
31311,2017-18,2017-18,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
28569,2017-18,2017-18,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,undeflated-value,Undeflated value
14027,2017-18,2017-18,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,undeflated-value,Undeflated value
17569,2017-18,2017-18,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,undeflated-value,Undeflated value
19382,2017-18,2017-18,K02000001,United Kingdom,1st,1st,median,Median,final,Final,undeflated-value,Undeflated value
17934,2017-18,2017-18,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,deflated-value,Deflated value
38310,2017-18,2017-18,K02000001,United Kingdom,4th,4th,median,Median,final,Final,undeflated-value,Undeflated value
46670,2017-18,2017-18,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,undeflated-value,Undeflated value
24121,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,undeflated-value,Undeflated value
23298,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
35465,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,deflated-value,Deflated value
31618,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,deflated-value,Deflated value
38934,2017-18,2017-18,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
67483,2017-18,2017-18,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
59787,2017-18,2017-18,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,deflated-value,Deflated value
6337,2017-18,2017-18,K02000001,United Kingdom,1st,1st,median,Median,original,Original,undeflated-value,Undeflated value
28787,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
7294,2017-18,2017-18,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,undeflated-value,Undeflated value
37180,2017-18,2017-18,K02000001,United Kingdom,all,All,mean,Mean,final,Final,undeflated-value,Undeflated value
45826,2017-18,2017-18,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,undeflated-value,Undeflated value
7445,2017-18,2017-18,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,deflated-value,Deflated value
23742,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
8733,2017-18,2017-18,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
10568,2017-18,2017-18,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
15955,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,undeflated-value,Undeflated value
31569,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,undeflated-value,Undeflated value
35446,2017-18,2017-18,K02000001,United Kingdom,all,All,median,Median,gross,Gross,deflated-value,Deflated value
30976,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,undeflated-value,Undeflated value
31268,2017-18,2017-18,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,undeflated-value,Undeflated value
17149,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
105889,2017-18,2017-18,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,undeflated-value,Undeflated value
35390,2017-18,2017-18,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
26277,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,deflated-value,Deflated value
25743,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,undeflated-value,Undeflated value
21112,2017-18,2017-18,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
19236,1983,1983,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,deflated-value,Deflated value
13773,1983,1983,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,deflated-value,Deflated value
6061,1983,1983,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,deflated-value,Deflated value
9244,1983,1983,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,deflated-value,Deflated value
7092,1983,1983,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,undeflated-value,Undeflated value
8581,1983,1983,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,undeflated-value,Undeflated value
4265,1983,1983,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
9912,1983,1983,K02000001,United Kingdom,1st,1st,median,Median,final,Final,deflated-value,Deflated value
42614,1983,1983,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,deflated-value,Deflated value
37235,1983,1983,K02000001,United Kingdom,5th,5th,median,Median,original,Original,deflated-value,Deflated value
3611,1983,1983,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,undeflated-value,Undeflated value
3347,1983,1983,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,undeflated-value,Undeflated value
5535,1983,1983,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
4191,1983,1983,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
6678,1983,1983,K02000001,United Kingdom,4th,4th,median,Median,final,Final,undeflated-value,Undeflated value
15711,1983,1983,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
6868,1983,1983,K02000001,United Kingdom,all,All,mean,Mean,original,Original,undeflated-value,Undeflated value
5078,1983,1983,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
11348,1983,1983,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,deflated-value,Deflated value
12471,1983,1983,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,deflated-value,Deflated value
13782,1983,1983,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,deflated-value,Deflated value
5521,1983,1983,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
4544,1983,1983,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,undeflated-value,Undeflated value
2234,1983,1983,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
5561,1983,1983,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
6119,1983,1983,K02000001,United Kingdom,all,All,median,Median,original,Original,undeflated-value,Undeflated value
19147,1983,1983,K02000001,United Kingdom,all,All,median,Median,gross,Gross,deflated-value,Deflated value
10549,1983,1983,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,undeflated-value,Undeflated value
4119,1983,1983,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,undeflated-value,Undeflated value
3247,1983,1983,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
2873,1983,1983,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
6335,1983,1983,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
8135,1983,1983,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,undeflated-value,Undeflated value
1412,1983,1983,K02000001,United Kingdom,1st,1st,median,Median,original,Original,deflated-value,Deflated value
3654,1983,1983,K02000001,United Kingdom,1st,1st,median,Median,final,Final,undeflated-value,Undeflated value
13728,1983,1983,K02000001,United Kingdom,5th,5th,median,Median,original,Original,undeflated-value,Undeflated value
7794,1983,1983,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,deflated-value,Deflated value
9077,1983,1983,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,deflated-value,Deflated value
8202,1983,1983,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,deflated-value,Deflated value
8647,1983,1983,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
8806,1983,1983,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
14974,1983,1983,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,deflated-value,Deflated value
40997,1983,1983,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,deflated-value,Deflated value
8396,1983,1983,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
6221,1983,1983,K02000001,United Kingdom,all,All,mean,Mean,final,Final,undeflated-value,Undeflated value
9795,1983,1983,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,deflated-value,Deflated value
12324,1983,1983,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,deflated-value,Deflated value
22066,1983,1983,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,deflated-value,Deflated value
11424,1983,1983,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,deflated-value,Deflated value
521,1983,1983,K02000001,United Kingdom,1st,1st,median,Median,original,Original,undeflated-value,Undeflated value
9202,1983,1983,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,deflated-value,Deflated value
19178,1983,1983,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,deflated-value,Deflated value
15112,1983,1983,K02000001,United Kingdom,all,All,median,Median,final,Final,deflated-value,Deflated value
14975,1983,1983,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,deflated-value,Deflated value
4184,1983,1983,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
25687,1983,1983,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,deflated-value,Deflated value
11739,1983,1983,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
26071,1983,1983,K02000001,United Kingdom,5th,5th,median,Median,final,Final,deflated-value,Deflated value
18113,1983,1983,K02000001,United Kingdom,4th,4th,median,Median,final,Final,deflated-value,Deflated value
17182,1983,1983,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,deflated-value,Deflated value
25660,1983,1983,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
4212,1983,1983,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
17183,1983,1983,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,deflated-value,Deflated value
23276,1983,1983,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,deflated-value,Deflated value
19564,1983,1983,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,deflated-value,Deflated value
4598,1983,1983,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,undeflated-value,Undeflated value
16077,1983,1983,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,deflated-value,Deflated value
4328,1983,1983,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
10633,1983,1983,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
23660,1983,1983,K02000001,United Kingdom,4th,4th,median,Median,original,Original,deflated-value,Deflated value
15256,1983,1983,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,deflated-value,Deflated value
6335,1983,1983,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,undeflated-value,Undeflated value
5572,1983,1983,K02000001,United Kingdom,all,All,median,Median,final,Final,undeflated-value,Undeflated value
7263,1983,1983,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
6721,1983,1983,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,undeflated-value,Undeflated value
15013,1983,1983,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
11172,1983,1983,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,deflated-value,Deflated value
5081,1983,1983,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,undeflated-value,Undeflated value
7213,1983,1983,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
7059,1983,1983,K02000001,United Kingdom,all,All,median,Median,gross,Gross,undeflated-value,Undeflated value
4918,1983,1983,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
2115,1983,1983,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
3393,1983,1983,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,undeflated-value,Undeflated value
8723,1983,1983,K02000001,United Kingdom,4th,4th,median,Median,original,Original,undeflated-value,Undeflated value
11811,1983,1983,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
3547,1983,1983,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,deflated-value,Deflated value
5737,1983,1983,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
5521,1983,1983,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,undeflated-value,Undeflated value
15115,1983,1983,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,undeflated-value,Undeflated value
19700,1983,1983,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
18231,1983,1983,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,deflated-value,Deflated value
9470,1983,1983,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
11369,1983,1983,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
15083,1983,1983,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
25454,1983,1983,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,deflated-value,Deflated value
28614,1983,1983,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,deflated-value,Deflated value
15228,1983,1983,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
32035,1983,1983,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
28840,1983,1983,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,deflated-value,Deflated value
38531,1983,1983,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,deflated-value,Deflated value
22774,1983,1983,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
18628,1983,1983,K02000001,United Kingdom,all,All,mean,Mean,original,Original,deflated-value,Deflated value
16598,1983,1983,K02000001,United Kingdom,all,All,median,Median,original,Original,deflated-value,Deflated value
3024,1983,1983,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,undeflated-value,Undeflated value
5927,1983,1983,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,undeflated-value,Undeflated value
16873,1983,1983,K02000001,United Kingdom,all,All,mean,Mean,final,Final,deflated-value,Deflated value
3408,1983,1983,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,undeflated-value,Undeflated value
5569,1983,1983,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,undeflated-value,Undeflated value
5625,1983,1983,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,undeflated-value,Undeflated value
7070,1983,1983,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
9460,1983,1983,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
9612,1983,1983,K02000001,United Kingdom,5th,5th,median,Median,final,Final,undeflated-value,Undeflated value
14206,1983,1983,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,undeflated-value,Undeflated value
11569,1983,1983,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
15106,1983,1983,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,deflated-value,Deflated value
13339,1983,1983,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
1308,1983,1983,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,undeflated-value,Undeflated value
3188,1983,1983,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
9384,1983,1983,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,undeflated-value,Undeflated value
5614,1983,1983,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
1068,1991,1991,K02000001,United Kingdom,1st,1st,median,Median,original,Original,deflated-value,Deflated value
33120,1991,1991,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,deflated-value,Deflated value
7997,1991,1991,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
8794,1991,1991,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
8545,1991,1991,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,undeflated-value,Undeflated value
6432,1991,1991,K02000001,United Kingdom,1st,1st,median,Median,final,Final,undeflated-value,Undeflated value
11178,1991,1991,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,undeflated-value,Undeflated value
24868,1991,1991,K02000001,United Kingdom,all,All,median,Median,gross,Gross,deflated-value,Deflated value
11578,1991,1991,K02000001,United Kingdom,1st,1st,median,Median,final,Final,deflated-value,Deflated value
3519,1991,1991,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
12478,1991,1991,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
594,1991,1991,K02000001,United Kingdom,1st,1st,median,Median,original,Original,undeflated-value,Undeflated value
35525,1991,1991,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
